,Shipments: Attributes Ocean type category,Shipments: Attributes Tradelane,Shipments: Attributes Gross Weight (kg),Shipments: Attributes Volume (cbm),Shipment Containers: Distance Final Port to Destination Distance in mile,Shipment Containers: Distance Origin to First Port Distance in km,Port pair,Total Actual Days,Latitude,Longitude
0,coloaded_lcl,TAWB,6022.0,20.16,81.44,130.2,BEANR - USNYC,40.0,40.5818403,-75.6958118
1,coloaded_lcl,TAWB,229.0,1.089,539.5,325.69,GBLIV - USNYC,39.0,35.0408072,-80.9752054
3,coloaded_lcl,TPEB,186.3,1.71,2197.57,42.65,VNHPH - USLAX,47.0,28.6454602,-81.3546942
4,coloaded_lcl,TPEB,223.26,2.563,11.44,30.69,THLKR - USLAX,43.0,33.8990902,-118.2735837
5,coloaded_lcl,FEWB,1851.69,6.633,180.81,91.56,THBKK - GBSOU,77.0,53.470664,-2.3086662
7,coloaded_lcl,TAWB,213.48,1.26,2440.69,448.88,DEHAM - USNYC,46.0,34.2563598,-118.403129
8,coloaded_lcl,TPEB,794.03,5.29,24.54,230.96,BDCGP - CAVAN,75.0,49.0446693,-122.6874575
9,coloaded_lcl,TPEB,6586.08,5.22,324.27,5.34,TWKHH - USCHI,58.0,41.28922379999999,-81.8628664
10,coloaded_lcl,TPEB,1497.0,6.341,199.5,5.83,INNSA - USNYC,58.0,41.9579872,-70.689061
11,coloaded_lcl,TPEB,543.0,4.0,140.04,1120.15,PKKHI - USSEA,63.0,45.5506354,-122.4709901
12,flxt_lcl,TPEB,46.5,0.15,42.9,11.69,HKHKG - USLGB,36.0,34.0340118,-117.5561447
13,coloaded_lcl,TPEB,367.02,2.846,18.07,1165.74,INNSA - USLAX,92.0,33.9836448,-118.1635897
14,coloaded_lcl,FEWB,250.0,1.426,116.24,100.38,LKCMB - GBFXT,47.0,52.6057743,-1.1889393
16,coloaded_lcl,TPEB,383.35,3.811,594.25,427.84,JPUKB - USNYC,90.0,34.8524089,-82.1421987
17,coloaded_lcl,TPEB,755.76,4.65,24.54,230.96,BDCGP - CAVAN,71.0,49.0446693,-122.6874575
18,coloaded_lcl,TAWB,114.0,1.0,107.0,20.46,ITGOA - USNYC,51.0,40.6331121,-76.18999509999999
19,flxt_lcl,TPEB,380.73,3.72,45.27,295.83,TWKHH - USLAX,35.0,34.0337855,-117.5558751
