,Shipments: Attributes Ocean type category,Shipments: Attributes Shipment ID,Shipments: Attributes Tradelane,Shipments: Attributes Gross Weight (kg),Shipments: Attributes Volume (cbm),Shipment Containers: Distance Final Port to Destination Distance in mile,Shipment Containers: Distance Origin to First Port Distance in km,Shipments: Attributes Freight Type,Shipments: Locations Arrival port Coordinates,Shipments: Locations Departure port Coordinates,Port pair,Total Actual Days
0,coloaded_lcl,3051512,TAWB,323,2.622,160.13,358.66,Port to Door,"32.7764749,-79.93105120000001","53.5510846,9.9936819",DEHAM - USATL,70.0
1,coloaded_lcl,3065451,TAWB,490,0.538,30.83,346.84,Door to Door,"45.5016889,-73.567256","53.5510846,9.9936819",DEHAM - USCHI,45.0
2,coloaded_lcl,3022941,TPEB,"1,913",11.36,54.37,233.94,Port to Door,"34.0522342,-118.2436849","22.356851,91.7831819",BDCGP - USLAX,57.0
3,coloaded_lcl,3024506,FEWB,752,0.508,147.02,421.03,Door to Door,"51.961726,1.351255","18.9499361,72.9511875",INNSA - GBFXT,57.0
4,flxt_lcl,3055002,TPEB,"6,471",8.11,"1,793.56",296.68,Port to Door,"34.0522342,-118.2436849","22.6272784,120.3014353",TWKHH - USLAX,43.0
5,coloaded_lcl,3026003,FEWB,285.66,2.73,166.63,149.07,Port to Door,"51.961726,1.351255","20.8449115,106.6880841",VNHPH - GBFXT,53.0
6,coloaded_lcl,3032043,FEEB,43.4,1.43,13.86,175.36,Port to Door,"23.12911,113.264385","41.0082376,28.9783589",TRIST - CNHUA,88.0
7,coloaded_lcl,3155505,TPEB,853,3.789,59.15,0.55,Port to Door,"34.0522342,-118.2436849","34.6937249,135.5022535",JPOSA - USLAX,
8,coloaded_lcl,3019716,TAWB,431,1.99,"2,431.81",239.25,Door to Door,"40.735657,-74.1723667","44.4056499,8.946256",ITGOA - USNYC,76.0
9,coloaded_lcl,3021482,TPEB,"3,667.91",19.77,54.37,230.96,Port to Door,"34.0522342,-118.2436849","22.356851,91.7831819",BDCGP - USLAX,79.0
10,coloaded_lcl,3025978,FEWB,600.34,4.99,185.35,11.93,Port to Door,"51.961726,1.351255","10.8230989,106.6296638",VNSGN - GBFXT,68.0
11,coloaded_lcl,2987666,FEWB,"1,350.02",11.42,77.89,137.06,Port to Door,"51.9244201,4.4777326","22.356851,91.7831819",BDCGP - NLRTM,73.0
12,coloaded_lcl,3053937,TPEB,"1,363.5",9.02,"1,833.99",7.25,Port to Door,"34.0522342,-118.2436849","10.8230989,106.6296638",VNSGN - USLAX,77.0
13,coloaded_lcl,3047522,FEWB,213.71,1.36,112.12,92.12,Port to Door,"50.90970040000001,-1.4043509","13.1040552,100.9158073",THLCH - GBSOU,
14,flxt_lcl,2976454,TPEB,"4,484.02",6.87,9.93,45.30,Port to Door,"34.0522342,-118.2436849","22.6272784,120.3014353",TWKHH - USLAX,37.0
15,coloaded_lcl,3074151,TAEB,"3,958.54",14.158,71.00,385.81,Door to Door,"51.9244201,4.4777326","36.8507689,-76.28587259999999",USORF - NLRTM,53.0
16,flxt_lcl,3022361,FEWB,179,1.565,94.57,302.53,Port to Door,"51.9244201,4.4777326","22.6272784,120.3014353",TWKHH - NLRTM,82.0
17,flxt_lcl,3074464,TPEB,201,0.961,180.36,10.16,Port to Door,"33.7700504,-118.1937395","22.3193039,114.1693611",HKHKG - USLGB,37.0
